source,destination,algorithm,path,cost,hops
0,1,BFS,"[0, 1]",39.0,1
0,1,DFS,"[0, 1]",39.0,1
0,1,Dijkstra,"[0, 7, 8, 6, 3, 9, 1]",-1331.0,6
0,1,A*,"[0, 1]",39.0,1
0,1,Bellman-Ford,None,-inf,None
0,2,BFS,"[0, 2]",1619.0,1
0,2,DFS,"[0, 1, 2]",574.0,2
0,2,Dijkstra,"[0, 7, 8, 2]",-104.0,3
0,2,A*,"[0, 7, 8, 2]",-104.0,3
0,2,Bellman-Ford,None,-inf,None
0,3,BFS,"[0, 3]",976.0,1
0,3,DFS,"[0, 1, 2, 3]",967.0,3
0,3,Dijkstra,"[0, 7, 8, 6, 3]",-478.0,4
0,3,A*,"[0, 1, 3]",-36.0,2
0,3,Bellman-Ford,None,-inf,None
0,4,BFS,"[0, 4]",1091.0,1
0,4,DFS,"[0, 1, 2, 3, 4]",2012.0,4
0,4,Dijkstra,"[0, 7, 4]",-268.0,2
0,4,A*,"[0, 7, 4]",-268.0,2
0,4,Bellman-Ford,None,-inf,None
0,5,BFS,"[0, 5]",144.0,1
0,5,DFS,"[0, 1, 2, 3, 4, 5]",2632.0,5
0,5,Dijkstra,"[0, 7, 8, 6, 3, 9, 1, 5]",-1289.0,7
0,5,A*,"[0, 5]",144.0,1
0,5,Bellman-Ford,None,-inf,None
0,6,BFS,"[0, 6]",352.0,1
0,6,DFS,"[0, 1, 2, 3, 4, 5, 6]",2594.0,6
0,6,Dijkstra,"[0, 7, 8, 6]",-68.0,3
0,6,A*,"[0, 1, 3, 6]",21.0,3
0,6,Bellman-Ford,None,-inf,None
0,7,BFS,"[0, 7]",-337.0,1
0,7,DFS,"[0, 1, 2, 3, 4, 5, 6, 7]",3161.0,7
0,7,Dijkstra,"[0, 7]",-337.0,1
0,7,A*,"[0, 7]",-337.0,1
0,7,Bellman-Ford,None,-inf,None
0,8,BFS,"[0, 8]",-119.0,1
0,8,DFS,"[0, 1, 2, 3, 4, 5, 6, 7, 8]",2747.0,8
0,8,Dijkstra,"[0, 7, 8]",-751.0,2
0,8,A*,"[0, 7, 8]",-751.0,2
0,8,Bellman-Ford,None,-inf,None
0,9,BFS,"[0, 9]",493.0,1
0,9,DFS,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]",4021.0,9
0,9,Dijkstra,"[0, 7, 8, 6, 3, 9]",-927.0,5
0,9,A*,"[0, 1, 3, 9]",-485.0,3
0,9,Bellman-Ford,None,-inf,None
1,2,BFS,"[1, 2]",535.0,1
