source,destination,algorithm,path,cost,hops
0,1,BFS,"[0, 1]",127.0,1
0,1,DFS,"[0, 1]",127.0,1
0,1,Dijkstra,"[0, 1]",127.0,1
0,1,A*,"[0, 1]",127.0,1
0,1,Bellman-Ford,None,-inf,None
0,2,BFS,"[0, 2]",1337.0,1
0,2,DFS,"[0, 1, 2]",766.0,2
0,2,Dijkstra,"[0, 1, 6, 3, 9, 2]",195.0,5
0,2,A*,"[0, 7, 2]",708.0,2
0,2,Bellman-Ford,None,-inf,None
0,3,BFS,"[0, 3]",741.0,1
0,3,DFS,"[0, 1, 2, 3]",1272.0,3
0,3,Dijkstra,"[0, 1, 6, 3]",-204.0,3
0,3,A*,"[0, 1, 6, 3]",-204.0,3
0,3,Bellman-Ford,None,-inf,None
0,4,BFS,"[0, 4]",924.0,1
0,4,DFS,"[0, 1, 2, 3, 4]",2194.0,4
0,4,Dijkstra,"[0, 7, 4]",124.0,2
0,4,A*,"[0, 7, 4]",124.0,2
0,4,Bellman-Ford,None,-inf,None
0,5,BFS,"[0, 5]",328.0,1
0,5,DFS,"[0, 1, 2, 3, 4, 5]",2782.0,5
0,5,Dijkstra,"[0, 1, 6, 5]",-112.0,3
0,5,A*,"[0, 5]",328.0,1
0,5,Bellman-Ford,None,-inf,None
0,6,BFS,"[0, 6]",372.0,1
0,6,DFS,"[0, 1, 2, 3, 4, 5, 6]",2868.0,6
0,6,Dijkstra,"[0, 1, 6]",6.0,2
0,6,A*,"[0, 6]",372.0,1
0,6,Bellman-Ford,None,-inf,None
0,7,BFS,"[0, 7]",-64.0,1
0,7,DFS,"[0, 1, 2, 3, 4, 5, 6, 7]",3458.0,7
0,7,Dijkstra,"[0, 7]",-64.0,1
0,7,A*,"[0, 7]",-64.0,1
0,7,Bellman-Ford,None,-inf,None
0,8,BFS,"[0, 8]",89.0,1
0,8,DFS,"[0, 1, 2, 3, 4, 5, 6, 7, 8]",3274.0,8
0,8,Dijkstra,"[0, 7, 8]",-248.0,2
0,8,A*,"[0, 8]",89.0,1
0,8,Bellman-Ford,None,-inf,None
0,9,BFS,"[0, 9]",383.0,1
0,9,DFS,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]",4307.0,9
0,9,Dijkstra,"[0, 1, 6, 3, 9]",-421.0,4
0,9,A*,"[0, 1, 6, 3, 9]",-421.0,4
0,9,Bellman-Ford,None,-inf,None
1,2,BFS,"[1, 2]",639.0,1
1,2,DFS,"[1, 0, 2]",1854.0,2
1,2,Dijkstra,"[1, 6, 3, 9, 2]",68.0,4
1,2,A*,"[1, 6, 3, 9, 2]",68.0,4
1,2,Bellman-Ford,None,-inf,None
1,3,BFS,"[1, 3]",2.0,1
1,3,DFS,"[1, 0, 2, 3]",2360.0,3
1,3,Dijkstra,"[1, 6, 3]",-331.0,2
